"","Engine.Capacity","Fuel.Type","Co2"
"951",1995,"Diesel",119
"952",1995,"Diesel",119
"953",1995,"Diesel",119
"954",1995,"Diesel",119
"955",1995,"Diesel",124
"956",1995,"Diesel",124
"957",1995,"Diesel",129
"958",1995,"Diesel",117
"959",1995,"Diesel",121
"960",1995,"Diesel",119
"961",1995,"Diesel",123
"962",1995,"Diesel",118
"963",1995,"Diesel",125
"964",1995,"Diesel",120
"965",1995,"Diesel",127
"966",1995,"Diesel",124
"967",1995,"Diesel",126
"968",1995,"Diesel",113
"969",1995,"Diesel",113
"970",1995,"Diesel",111
"971",1995,"Diesel",111
"972",1995,"Diesel",116
"973",1995,"Diesel",116
"974",1995,"Diesel",111
"975",1995,"Diesel",111
"976",1995,"Diesel",116
"977",1995,"Diesel",116
"978",1995,"Diesel",113
"979",1995,"Diesel",118
"980",1995,"Diesel",119
"981",1995,"Diesel",123
"982",1995,"Diesel",126
"983",1995,"Diesel",122
"984",1995,"Diesel",129
"985",1995,"Diesel",125
"986",1995,"Diesel",116
